id;concept_id;concept_confidence
405a259e-be61-4b97-a434-195a6206d39e;A1.fixtures_and_severance;0.98
2ee4bd64-b1e8-4f55-b34e-e14b7cc63db5;A3.mortgage_basics;0.97
480eecf0-8b06-4791-975d-aeb2a8df7fc5;A3.amortization_interest;0.99
b4b0de7b-d07f-40d9-809a-f599db986ef7;A1.real_vs_personal_property;0.96
f566eb87-453d-435b-80cd-73a62e2d941b;A1.legal_descriptions;0.99
c1e74952-003a-482a-8fad-b31b1762f1f8;A3.mortgage_basics;0.97
58865b2e-e8c4-4bfa-9925-4fa8d78b0051;A3.mortgage_basics;0.99
4a8eea44-d807-407b-ad86-71c41f84e10c;A1.legal_descriptions;0.97
4f0f45cd-0f85-4e33-ac22-dabb99e57e3a;A1.general;0.45
9fb3058e-eb83-49ee-9b41-067607ebf64e;A3.mortgage_basics;0.97
f337a1d9-6089-4214-a0bd-1355023d3626;A3.mortgage_basics;0.99
e0d273b9-8c18-41db-8e3c-5d6e3f397b8b;A1.general;0.45
b4e6023b-3e51-4976-96ea-5320eb9f01e0;A3.escrow_taxes_insurance;0.96
7b7ce009-d9bc-44f9-bf9e-9148fd582c16;A3.escrow_taxes_insurance;0.96
6aee9a1a-c051-4359-af01-9fdcada4618d;A1.fixtures_and_severance;0.98
ea923226-ce9c-4c2f-b479-ca2cad420a82;A3.general;0.45
afd99966-88bc-43c4-8f08-1c39eb79e240;A3.appraisal_basics;0.96
fb21ec0c-dffa-41e0-bbcc-acf582150c2e;A3.mortgage_basics;0.97
1df6f018-22e6-48af-a581-b7b8bcd9a76e;A3.amortization_interest;0.97
d7a7d2e3-be80-4e29-ab09-db2a06639d94;A3.mortgage_basics;0.97
d8fc7212-095a-4490-9cb7-877ac89eb318;A3.mortgage_basics;0.97
088dfc98-ac84-4fdc-a230-799aced9011f;A3.mortgage_basics;0.98
b8bba127-363b-453c-8ec1-b66df42fba53;A3.mortgage_basics;0.98
9021cbbc-9330-4783-bc59-5f56427a3743;A3.mortgage_basics;0.98
519dad0a-f251-4c91-9bc4-0c4cf803aeec;A3.amortization_interest;0.97
855ba3d3-01ee-4869-bb94-08774c4ad46f;A3.mortgage_basics;0.97
fc4ef171-f833-488a-b226-012d4cd1de56;A3.investment_principles;0.95
9e7159ab-834b-4f3a-a24f-98cc4668352a;A3.mortgage_basics;0.99
a32a78ba-1445-4e5b-980c-257d617a0dbe;A3.loan_types_fha_va;0.97
056dbb1a-c0f6-4380-b24b-b14c0841e71e;A3.loan_types_fha_va;0.97
05019f8d-b580-402f-b091-42086691ced6;A3.amortization_interest;0.97
96d4c3dc-cc48-437b-a24d-4f22ee506203;A3.mortgage_basics;0.99
7e41a1a0-5e9e-4381-85fd-fecbf401d76e;A3.loan_types_fha_va;0.97
c488f227-e90b-4b28-93a3-e4d7271a357e;A3.amortization_interest;0.97
77cb6c6d-b75a-4ce7-9cfd-1bb8b27086b9;A3.mortgage_basics;0.98
9516f416-3b1b-45fa-8fe5-2882d2576095;A3.amortization_interest;0.99
98cd6e0b-c6d0-404e-a941-1f8e4c7fad12;A3.mortgage_basics;0.97
db48d55f-ecfd-46d9-9f15-3571a044d1f8;A3.loan_types_fha_va;0.97
aa31931e-6bb1-458c-ae87-90f42bb61ae4;A3.mortgage_basics;0.99
38cdbf96-4e4f-47fb-9699-d10aaccb444f;A3.mortgage_basics;0.97
af7d4d01-b7c2-4ca3-81d9-2f84ffd49086;A3.mortgage_basics;0.97
fce8b1ca-62f8-49cf-b833-d3d22134eef2;A3.investment_principles;0.97
49426939-2d8f-42e9-8407-d1af4606df69;A3.amortization_interest;0.97
18890793-7395-47d1-8954-731b4b58a865;A3.amortization_interest;0.97
e0e32fbe-e075-41f1-a969-4df37ace14bc;A3.mortgage_basics;0.97
8e0d1561-1793-4ef1-8e21-7e1f833621e3;A3.amortization_interest;0.97
20eb3171-2032-422d-a96c-7cbbc5f35aff;A3.amortization_interest;0.97
10a89451-8775-4321-bb7b-968e2de67f15;A3.mortgage_basics;0.97
