id;subject;question_text;option_a;option_b;option_c;option_d;correct_answer;feedback;level_label;concept_id;concept_confidence
405a259e-be61-4b97-a434-195a6206d39e;A1 Real Property;Real property can become personal property by a process called:;Attachment;Accretion;Hypothecation;Severance;D;"Severance is the changing an item of real property to personal property by detaching it from the land. For example, cutting down a tree ""severs"" it from the real property, at which point the wood becomes personal property.";easy;A1.fixtures_and_severance;0.98
2ee4bd64-b1e8-4f55-b34e-e14b7cc63db5;A3 Financing;Fee charged by lender for expenses during loan setup;Loan discount fee;Mortgage loan broker’s fee;Loan origination fee;Prepayment fee;C;Loan origination fee is a percentage of the loan charged to cover lender’s processing costs.;easy;A3.mortgage_basics;0.97
480eecf0-8b06-4791-975d-aeb2a8df7fc5;A3 Financing;Amortization tables determine;Term of the loan;Monthly payment;Interest rate;APR;B;Amortization tables are used to calculate monthly payments based on loan amount, term, and interest rate.;easy;A3.amortization_interest;0.99
b4b0de7b-d07f-40d9-809a-f599db986ef7;A1 Real Property;"The term ""real property"" refers to what?";Just the land itself;The land and any attachments or improvements;Land, improvements, and the bundie of rights of ownership;‘The bundle of rights of ownership;C;Real property refers to the land itself, any attachments or improvements, and the bundle of rights associated with ownership.;easy;A1.real_vs_personal_property;0.96
f566eb87-453d-435b-80cd-73a62e2d941b;A1 Real Property;A section in the rectangular survey system contains:;160 acres per section;640 acres per section;36 townships;160 government lots;B;Each township contains 36 sections, and each section is 1 square mile, or 640 acres per section.;easy;A1.legal_descriptions;0.99
c1e74952-003a-482a-8fad-b31b1762f1f8;A3 Financing;Mortgage payment is late when received;5 days after due date;3 days after due date;10 days after due date;More than 10 days after due date;D;Standard mortgage contracts usually consider payments late after 10 days past the due date.;easy;A3.mortgage_basics;0.97
58865b2e-e8c4-4bfa-9925-4fa8d78b0051;A3 Financing;Defines a mortgage loan;Instrument only in real estate exchange;Loan collateralized with real estate;Promissory note unpaid;Unsecured financial obligation;B;A mortgage is a loan secured by real estate as collateral.;easy;A3.mortgage_basics;0.99
4a8eea44-d807-407b-ad86-71c41f84e10c;A1 Real Property;A square is 1/8 of a mile by 1/8 of a mile. How many acres is this?;40 acres;10 acres;20 acres;160 acres;B;"1/8 mile x 1/8 mile = 1/64 of a square mile. There are 640 acres in a square mile, so multiply these numbers to find the answer:

1/64 sq. mile x 640 sq. mile = 10

NOTE: You can solve this two ways: 640 x 1/64, which is the same as 640/64 = 10.
Or, the second way (which requires a calculator): 1 ÷ 64 x 640 = 10.";easy;A1.legal_descriptions;0.97
4f0f45cd-0f85-4e33-ac22-dabb99e57e3a;A1 Real Property;Jeremy has a monthly income of $2,000. His payment-to-income ratio is 20%. How much is his monthly payment?;$800;$1,200;$400;$500;C;The formula for finding the monthly payment when you know the income and payment-to-income ratio is Monthly income x Payment-to-income ratio = Monthly payment. So, $2,000 multiplied by 0.2 = $400.;easy;A1.general;0.45
9fb3058e-eb83-49ee-9b41-067607ebf64e;A3 Financing;Most important factor in loan decision;General economic outlook;Availability of mortgage funds;Degree of risk;Customary practices;C;Lenders primarily consider risk when deciding on a specific loan.;easy;A3.mortgage_basics;0.97
f337a1d9-6089-4214-a0bd-1355023d3626;A3 Financing;Major source for junior loans;Insurance companies;Federal Land Bank;Commercial banks;Private lenders;D;Private lenders are the main source for junior (second) loans.;easy;A3.mortgage_basics;0.99
e0d273b9-8c18-41db-8e3c-5d6e3f397b8b;A1 Real Property;Which of these is NOT a protected class under the Fair Housing Act?;Age;Race;Religion;National origin;A;The protected classes under the Fair Housing Act are religion, color, race, national origin, familial status, sex (including gender presentation and sexuality), and disability status. Age is not a protected category.;easy;A1.general;0.45
b4e6023b-3e51-4976-96ea-5320eb9f01e0;A3 Financing;Fed increases cash reserve requirements to;Raise taxes;Sell bonds;Increase loan activity;Decrease loan activity;D;Increasing reserve requirements reduces bank lending, decreasing loan activity.;easy;A3.escrow_taxes_insurance;0.96
7b7ce009-d9bc-44f9-bf9e-9148fd582c16;A3 Financing;Portfolio risk management concern;Diversification;Reserves, Diversification, and Liquidity;Liquidity;Reserves;B;Lenders must manage reserves, diversification, and liquidity to reduce risk.;easy;A3.escrow_taxes_insurance;0.96
6aee9a1a-c051-4359-af01-9fdcada4618d;A1 Real Property;A bill of sale is used to transfer the ownership of what?;Personal property;Real property;Fixtures;Appurtenances;A;Personal property differs from real property in a number of respects, most importantly its portability. Cars, furniture, clothing, paintings, jewelry, appliances, and just about any other non-food item one buys are examples of personal property. A bill of sale is proof of the transfer of ownership of personal property.;easy;A1.fixtures_and_severance;0.98
ea923226-ce9c-4c2f-b479-ca2cad420a82;A3 Financing;When prices decrease;No effect;Value of money increases;Value of money decreases;Value of commodities increases;B;When prices fall, money gains purchasing power.;easy;A3.general;0.45
afd99966-88bc-43c4-8f08-1c39eb79e240;A3 Financing;Owner borrows $75k, property increases $30k;Highest and best use;Leverage;Plottage;Depreciation;B;Leverage occurs when borrowed funds are used to increase property value, magnifying returns.;easy;A3.appraisal_basics;0.96
fb21ec0c-dffa-41e0-bbcc-acf582150c2e;A3 Financing;Purpose of a release clause;Release some properties upon partial payment;Release borrower from liability;Release lender from liability;Release title company;A;In a blanket mortgage, a release clause allows freeing portions of property as partial payment is made.;easy;A3.mortgage_basics;0.97
1df6f018-22e6-48af-a581-b7b8bcd9a76e;A3 Financing;Balloon loan description;Non-assumable loan;Partially-amortized loan;Due-on-sale loan;Fully-amortized loan;B;A balloon loan is partially amortized with a large final payment due.;easy;A3.amortization_interest;0.97
d7a7d2e3-be80-4e29-ab09-db2a06639d94;A3 Financing;GPAM mortgage loan provides;Renegotiation of interest rate;Deferred principal payments early in loan;Series of short-term notes;Adjustable interest as market rates change;B;GPAM (Graduated Payment Adjustable Mortgage) defers part of principal in early years.;easy;A3.mortgage_basics;0.97
d8fc7212-095a-4490-9cb7-877ac89eb318;A3 Financing;Loan with adjustable interest rate;Variable interest rate loan;Fluctuating market condition loan;Interim loan;Short-term land contract loan;A;Variable interest loans adjust rates based on market conditions.;easy;A3.mortgage_basics;0.97
088dfc98-ac84-4fdc-a230-799aced9011f;A3 Financing;Open-End clause benefits borrower when;Prepaid the loan;Loan subordinate to construction loan;Subsequent buyer assumes loan;Borrow additional money;D;Open-end clause allows borrower to borrow additional funds using same mortgage as security.;easy;A3.mortgage_basics;0.98
b8bba127-363b-453c-8ec1-b66df42fba53;A3 Financing;Mortgage allowing borrowing additional funds later;Equitable mortgage;Extendible mortgage;Open-end mortgage;Junior mortgage;C;Open-end mortgages let borrower take additional funds under original mortgage.;easy;A3.mortgage_basics;0.98
9021cbbc-9330-4783-bc59-5f56427a3743;A3 Financing;Beneficiary statement identifies;Owner listing loan benefits;Lender stating current balance due;Designating property receiver at death;Insurer stating payout;B;Beneficiary statement shows the loan balance needed to pay off a mortgage.;easy;A3.mortgage_basics;0.98
519dad0a-f251-4c91-9bc4-0c4cf803aeec;A3 Financing;Measure of goods/services produced in a year;Cost of living index;National income;National economic cycle;Gross national product;D;GNP (or GDP) measures total goods and services produced in a year.;easy;A3.amortization_interest;0.97
855ba3d3-01ee-4869-bb94-08774c4ad46f;A3 Financing;Majority of money for real estate loans;Individual savings;Co-op savings;Federal reserves;Government bonds;A;Individual savings are the primary source for mortgage funds.;easy;A3.mortgage_basics;0.97
fc4ef171-f833-488a-b226-012d4cd1de56;A3 Financing;Lenders try to minimize;Chance of substandard loan;Loan to value ratio;Borrower personal difficulties;Overall net yield;A;Lenders aim to avoid substandard (high-risk) loans in their portfolios.;easy;A3.investment_principles;0.95
9e7159ab-834b-4f3a-a24f-98cc4668352a;A3 Financing;Credit score used to assess borrower risk;Balance sheet;FICO score;Preliminary report;Pre-approval;B;FICO scores indicate likelihood of borrower default.;easy;A3.mortgage_basics;0.99
a32a78ba-1445-4e5b-980c-257d617a0dbe;A3 Financing;Warehousing in real estate financing;Unregulated loans;Financing industrial warehouses;Large bank/S&L;Mortgage company collecting loans before resale;D;Warehousing is collecting loans temporarily before selling them on the secondary market.;easy;A3.loan_types_fha_va;0.97
056dbb1a-c0f6-4380-b24b-b14c0841e71e;A3 Financing;Warehousing with regard to mortgages;Selling loans on secondary market;Making low-interest loans;Accepting unsecured loans;Making long-term loans;A;Warehousing often refers to accumulating loans before selling in the secondary market.;easy;A3.loan_types_fha_va;0.97
